snail_ID,termination,size_mm,sex,ecotype,time_min,egg,misdev,veliger,shelled,crawlaway,stage,notes,vip
FT101,,13,male,crab,,,,,,,,,S
FT102,,11.5,male,crab,,,,,,,,,S
FT103,,14,male,crab,,,,,,,,,S
FT104,,9,male,crab,,,,,,,,,S
FT105,,12,male,crab,,,,,,,,,S
FT106,,12,male,crab,,,,,,,,,S
FT107,,13,male,crab,,,,,,,,,S
FT108,,11,male,crab,,,,,,,,,S
FT109,,13,male,crab,,,,,,,,,S
FT110,,10,male,crab,,,,,,,,,S
FT111,,9.5,male,crab,,,,,,,,,S
FT112,,8,male,crab,,,,,,,,,S
FT113,,12,male,crab,,,,,,,,,S
FT114,,13,male,crab,,,,,,,,,S
FT115,,12.5,male,crab,,,,,,,,,S
FT116,,12,male,crab,,,,,,,,,S
FT117,,12,male,crab,,,,,,,,,S
FT118,,12.5,male,crab,,,,,,,,,S
FT119,,13,male,crab,,,,,,,,,S
FT120,,8,male,crab,,,,,,,,,S
FT121,,9,male,crab,,,,,,,,,S
FT122,,13,male,crab,,,,,,,,,S
FT123,,12,male,crab,,,,,,,,,S
FT124,,11,male,crab,,,,,,,,,S
FT125,,13,male,crab,,,,,,,,,S
FT126,,8,male,crab,,,,,,,,,S
FT127,,10,male,crab,,,,,,,,,S
FT128,,8.5,male,crab,,,,,,,,,S
FT129,,13,male,crab,,,,,,,,,S
FT130,,14,male,crab,,,,,,,,,S
FT131,,13.5,male,crab,,,,,,,,,S
FT132,,13.5,male,crab,,,,,,,,,S
FT133,,9,male,crab,,,,,,,,,S
FT134,,12,male,crab,,,,,,,,,S
FT135,,11,male,crab,,,,,,,,,S
FT136,,12,male,crab,,,,,,,,,S
FT137,,9,male,crab,,,,,,,,,S
FT138,,11.5,male,crab,,,,,,,,,S
FT139,,11.5,male,crab,,,,,,,,,S
FT140,,10,male,crab,,,,,,,,,S
FT141,,9,male,crab,,,,,,,,,S
FT142,,12,male,crab,,,,,,,,,S
FT143,,13,male,crab,,,,,,,,,S
K50,ARTIFICIAL,9,female,crab,30,8,21,19,41,28,U,in tank 20200602,S
J00,,8,female,crab,,,,,,,,,S
K00,NONE,8.5,female,crab,Control,21,4,0,0,0,U,in tank 20200611,S
H00,ARTIFICIAL,9,female,crab,5,3,6,2,6,0,U,in tank 20200611,S
J50,,7.5,female,crab,,,,,,,,,S
H50,,8,female,crab,,,,,,,,,S
K51,,8,female,crab,,,,,,,,,S
K01,,8,female,crab,,,,,,,,,S
J51,ARTIFICIAL,9,female,crab,30,25,17,39,49,13,U,in tank 20200525,S
J01,,7.5,female,crab,,,,,,,,,S
H51,NONE,9,female,crab,Control,42,23,0,0,0,U,in tank 20200611,S
H01,,8.5,female,crab,,,,,,,,,S
K52,,8.5,female,crab,,,,,,,,,S
K02,,8.5,female,crab,,,,,,,,,S
J52,,8,female,crab,,,,,,,,,S
J02,,7,female,crab,,,,,,,,,S
H02,ARTIFICIAL,8,female,wave,1,29,47,63,103,72,U,in tank 20200527,S
H52,ARTIFICIAL,8.5,female,wave,5,26,40,23,85,78,U,in tank 20200601,S
H53,NATURAL,7.5,female,wave,11,43,51,49,128,51,U,in tank 20200527,S
H03,,7,female,wave,,,,,,,,,S
FT144,,9.5,male,crab,,,,,,,,,S
FT145,,9,male,crab,,,,,,,,,S
FT146,,9,male,crab,,,,,,,,,S
FT147,,10,male,crab,,,,,,,,,S
FT148,,9,male,crab,,,,,,,,,S
FT149,,8,male,crab,,,,,,,,,S
FT150,,8,male,crab,,,,,,,,,S
FT151,,9,male,crab,,,,,,,,,S
FT152,,8,male,crab,,,,,,,,,S
FT153,,10,male,crab,,,,,,,,,S
FT154,,9,male,crab,,,,,,,,,S
FT155,,10.5,male,crab,,,,,,,,,S
FT156,,9.5,male,crab,,,,,,,,,S
FT157,,10,male,crab,,,,,,,,,S
FT158,,7.5,male,crab,,,,,,,,,S
FT159,,9,male,crab,,,,,,,,,S
FT160,,9,male,crab,,,,,,,,,S
FT161,,9.5,male,crab,,,,,,,,,S
FT162,,8.5,male,crab,,,,,,,,,S
FT163,,8.5,male,crab,,,,,,,,,S
FT164,,9,male,crab,,,,,,,,,S
FT165,,9,male,crab,,,,,,,,,S
FT166,,9,male,crab,,,,,,,,,S
FT167,,9.5,male,crab,,,,,,,,,S
FT168,,9,male,crab,,,,,,,,,S
FT169,,8.5,male,crab,,,,,,,,,S
FT170,,9,male,crab,,,,,,,,,S
FT171,,9,male,crab,,,,,,,,,S
FT172,,10,male,crab,,,,,,,,,S
FT173,,9,male,crab,,,,,,,,,S
FT174,,9,male,crab,,,,,,,,,S
FT175,,8,male,crab,,,,,,,,,S
FT176,,9,male,crab,,,,,,,,,S
FT177,,8,male,crab,,,,,,,,,S
FT178,,8.5,male,crab,,,,,,,,,S
FT179,,9.5,male,crab,,,,,,,,,S
FT180,,7.5,male,crab,,,,,,,,,S
FT181,,8,male,crab,,,,,,,,,S
FT182,,7,male,crab,,,,,,,,,S
FT183,,10.5,male,crab,,,,,,,,,S
FT184,,7,male,crab,,,,,,,,,S
FT185,,7,male,crab,,,,,,,,,S
FT186,,10,male,crab,,,,,,,,,S
H04,LOST,10.5,female,crab,1,,,,,,,in tank 20200525,S
H05,ARTIFICIAL,13,female,crab,5,0,0,0,0,0,U,in tank 20200525,S
H06,ARTIFICIAL,12,female,crab,30,14,29,62,184,143,U,in tank 20200601,S
H07,NONE,14,female,crab,Control,3,0,0,0,0,U,in tank 20200611,S
H08,NATURAL,13,female,crab,3,3,23,1,28,1,U,in tank 20200604,S
H09,ARTIFICIAL,12,female,crab,1,15,12,66,79,42,U,in tank 20200527,S
H10,,12.5,female,crab,,,,,,,,,S
H11,ARTIFICIAL,12,female,crab,1,0,0,0,0,0,U,in tank 20200528,S
H12,ARTIFICIAL,12.5,female,crab,30,5,11,0,0,0,U,in tank 20200528,S
H13,,11,female,crab,,,,,,,,,S
H14,ARTIFICIAL,10,female,crab,5,2,5,2,6,0,U,in tank 20200526,S
H15,ARTIFICIAL,10,female,crab,30,1,1,0,0,0,U,in tank 20200601,S
FT187,,5,male,wave,,,,,,,,,S
FT188,,5,male,wave,,,,,,,,,S
FT189,,6,male,wave,,,,,,,,,S
FT190,,4,male,wave,,,,,,,,,S
FT191,,6,male,wave,,,,,,,,,S
FT192,,5,male,wave,,,,,,,,,S
FT193,,5,male,wave,,,,,,,,,S
FT194,,5,male,wave,,,,,,,,,S
FT195,,4,male,wave,,,,,,,,,S
FT196,,4,male,wave,,,,,,,,,S
FT197,,3,male,wave,,,,,,,,,S
FT198,,4,male,wave,,,,,,,,,S
FT199,,3,male,wave,,,,,,,,,S
H16,,10,female,crab,,,,,,,,,S
H17,,10,female,crab,,,,,,,,,S
