snail_ID,size_mm,sex,notes
648,10,male,
649,9,male,
652,9,male,
653,10,male,
662,7,male,
663,10,male,
664,10,male,
665,8,male,
666,10.5,male,
667,10,male,
668,8,male,
669,7,male,
670,8,male,
672,7,male,
673,7,male,
674,8,male,
675,9,male,
676,9.5,male,
677,9,male,
678,8,male,
679,9.5,male,
680,9,male,
681,11,male,
682,10,male,
683,8,male,
684,10,male,
685,11,male,
582,9,male,
583,8,male,
584,6,male,
585,7.5,male,
586,11,male,
587,9,male,
612,12,female,
613,11,female,
614,10.5,female,
615,9,female,
616,12,female,
617,12.5,female,
618,8.5,female,
619,8.5,female,
620,10,female,
621,11,female,
622,11,female,
623,10,female,
570,8,male,
571,10,male,
572,8,male,
573,9,male,
574,11,male,
575,9,male,
576,9,male,
577,11,male,
578,8,male,
579,11,male,
580,10,male,
581,10,male,
654,8,male,
655,9,male,
656,9,male,
657,9,male,
658,9,male,
659,10.5,male,
660,9,male,
661,10,male,
594,10,male,
595,10.5,male,
596,10.5,male,
597,7,male,
712,10,female,
713,9,female,
714,10,female,
715,9,female,
716,9.5,female,
717,11,female,
718,10,female,
719,9,female,
637,11,female,
638,8,female,
639,9,female,
640,8,female,
641,12,female,
642,9,female,
643,10,female,
624,10,female,
625,11.5,female,
626,10,female,
636,9.5,female,
