snail_ID,termination,size_mm,sex,ecotype,time_min,egg,misdev,dev,vip,notes,stage,p_dev
C,NONE,5.8,female,wave,Control,46,0,0,S,pilot,U,0
M,NONE,8.1,female,wave,Control,21,0,0,S,pilot,U,0
O,NONE,8.3,female,wave,Control,244,0,0,S,pilot,U,0
A,ARTIFICIAL,5.1,female,wave,5,9,0,10,S,pilot,U,0.526315789473684
G,ARTIFICIAL,7.4,female,wave,5,47,14,82,S,pilot,U,0.635658914728682
K,NATURAL,7.8,female,wave,5,19,43,43,S,pilot,U,0.693548387096774
S,ARTIFICIAL,9.2,female,wave,5,182,0,2,S,pilot,U,0.0108695652173913
T,ARTIFICIAL,9.3,female,wave,5,258,0,0,S,pilot,U,0
J,ARTIFICIAL,7.6,female,wave,10,126,0,12,S,pilot,U,0.0869565217391304
F,ARTIFICIAL,7.2,female,wave,30,23,8,74,S,pilot,U,0.762886597938144
L,NATURAL,7.9,female,wave,6,22,5,5,S,pilot,U,0.185185185185185
N,NATURAL,8.3,female,wave,28,50,20,37,S,pilot,U,0.425287356321839
Q,NATURAL,8.6,female,wave,17,10,0,2,S,pilot,U,0.166666666666667
R,NATURAL,8.7,female,wave,15,17,6,32,S,pilot,U,0.653061224489796
T,ARTIFICIAL,9.3,female,wave,5,258,0,0,K,pilot,U,0
M,NONE,8.1,female,wave,Control,21,0,0,K,pilot,U,0
R,NATURAL,8.7,female,wave,15,22,0,28,K,pilot,SAME,0.56
A,ARTIFICIAL,5.1,female,wave,5,7,0,9,K,pilot,SAME,0.5625
S,ARTIFICIAL,9.2,female,wave,5,184,0,0,K,pilot,U,0
F,ARTIFICIAL,7.2,female,wave,30,10,0,87,K,pilot,DIFF,0.896907216494845
Q,NATURAL,8.6,female,wave,17,9,0,2,K,pilot,U,0.181818181818182
G,ARTIFICIAL,7.4,female,wave,5,34,13,95,K,pilot,DIFF,0.736434108527132
O,NONE,8.3,female,wave,Control,244,0,0,K,pilot,U,0
C,NONE,5.8,female,wave,Control,46,0,0,K,pilot,U,0
J,ARTIFICIAL,7.6,female,wave,10,126,0,12,K,pilot,SAME,0.0869565217391304
K50,ARTIFICIAL,9,female,crab,30,8,21,109,S,in tank 20200602,U,0.931623931623932
K00,NONE,8.5,female,crab,Control,25,0,0,S,in tank 20200611,U,0
H00,ARTIFICIAL,9,female,crab,5,9,0,8,S,in tank 20200611,U,0.470588235294118
J51,ARTIFICIAL,9,female,crab,30,25,17,118,S,in tank 20200525,U,0.825174825174825
H51,NONE,9,female,crab,Control,65,0,0,S,in tank 20200611,U,0
H02,ARTIFICIAL,8,female,wave,1,29,47,285,S,in tank 20200527,U,0.907643312101911
H52,ARTIFICIAL,8.5,female,wave,5,26,40,226,S,in tank 20200601,U,0.896825396825397
H53,NATURAL,7.5,female,wave,11,43,51,279,S,in tank 20200527,U,0.866459627329193
H05,ARTIFICIAL,13,female,crab,5,0,0,0,S,in tank 20200525,U,0
H06,ARTIFICIAL,12,female,crab,30,14,29,418,S,in tank 20200601,U,0.967592592592593
H07,NONE,14,female,crab,Control,3,0,0,S,in tank 20200611,U,0
H08,NATURAL,13,female,crab,3,3,23,53,S,in tank 20200604,U,0.946428571428571
H09,ARTIFICIAL,12,female,crab,1,15,12,199,S,in tank 20200527,U,0.929906542056075
H11,ARTIFICIAL,12,female,crab,1,0,0,0,S,in tank 20200528,U,0
H12,ARTIFICIAL,12.5,female,crab,30,16,0,0,S,in tank 20200528,U,0
H14,ARTIFICIAL,10,female,crab,5,2,5,13,S,in tank 20200526,U,0.866666666666667
H15,ARTIFICIAL,10,female,crab,30,0,0,0,S,in tank 20200601,U,0
H18,ARTIFICIAL,9,female,crab,1,8,4,21,S,in tank 20200603,U,0.724137931034483
H19,ARTIFICIAL,9.5,female,crab,5,0,0,0,S,in tank 20200604,U,0
H20,ARTIFICIAL,9.5,female,crab,30,0,0,10,S,in tank 20200611,U,1
H21,ARTIFICIAL,10,female,crab,1,18,0,0,S,in tank 20200602,U,0
H22,ARTIFICIAL,9,female,crab,5,0,0,0,S,in tank 20200602,U,0
H23,ARTIFICIAL,11,female,crab,1,2,1,168,S,in tank 20200609,U,0.988235294117647
H25,ARTIFICIAL,9.5,female,crab,5,37,6,198,S,in tank 20200603,U,0.842553191489362
H09,ARTIFICIAL,12,female,crab,1,15,0,199,K,in tank 20200527,DIFF,0.929906542056075
H00,ARTIFICIAL,9,female,crab,5,8,0,8,K,in tank 20200611,U,0.5
H23,ARTIFICIAL,11,female,crab,1,0,0,170,K,in tank 20200609,DIFF,1
H22,ARTIFICIAL,9,female,crab,5,0,0,0,K,in tank 20200602,U,0
H53,NATURAL,7.5,female,wave,11,43,0,279,K,in tank 20200527,DIFF,0.866459627329193
H15,ARTIFICIAL,10,female,crab,30,0,0,0,K,in tank 20200601,U,0
H18,ARTIFICIAL,9,female,crab,1,8,0,18,K,in tank 20200603,SAME,0.692307692307692
H25,ARTIFICIAL,9.5,female,crab,5,30,0,198,K,in tank 20200603,DIFF,0.868421052631579
H14,ARTIFICIAL,10,female,crab,5,4,0,8,K,in tank 20200526,SAME,0.666666666666667
H12,ARTIFICIAL,12.5,female,crab,30,16,0,0,K,in tank 20200528,U,0
H52,ARTIFICIAL,8.5,female,wave,5,25,0,227,K,in tank 20200601,DIFF,0.900793650793651
H02,ARTIFICIAL,8,female,wave,1,53,0,261,K,in tank 20200527,DIFF,0.831210191082803
H51,NONE,9,female,crab,Control,65,0,0,K,in tank 20200611,U,0
H19,ARTIFICIAL,9.5,female,crab,5,0,0,0,K,in tank 20200604,U,0
K50,ARTIFICIAL,9,female,crab,30,10,0,109,K,in tank 20200602,U,0.915966386554622
H06,ARTIFICIAL,12,female,crab,30,10,0,418,K,in tank 20200601,U,0.976635514018692
J51,ARTIFICIAL,9,female,crab,30,12,0,118,K,in tank 20200525,U,0.907692307692308
H21,ARTIFICIAL,10,female,crab,1,18,0,0,K,in tank 20200602,U,0
H11,ARTIFICIAL,12,female,crab,1,0,0,0,K,in tank 20200528,U,0
