snail_ID,termination,size_mm,sex,ecotype,time_min,egg,misdev,veliger,shelled,crawlaway,notes
C,NONE,5.8,female,wave,Control,37,9,0,0,0,pilot
M,NONE,8.1,female,wave,Control,18,2,0,0,0,pilot
O,NONE,8.3,female,wave,Control,129,115,0,0,0,pilot
A,ARTIFICIAL,5.1,female,wave,5,2,7,1,9,0,pilot
G,ARTIFICIAL,7.4,female,wave,5,47,14,28,39,1,pilot
K,NATURAL,7.8,female,wave,5,19,43,0,0,0,pilot
S,ARTIFICIAL,9.2,female,wave,5,157,25,2,0,0,pilot
T,ARTIFICIAL,9.3,female,wave,5,198,60,0,0,0,pilot
J,ARTIFICIAL,7.6,female,wave,10,68,58,0,11,1,pilot
F,ARTIFICIAL,7.2,female,wave,30,46,8,24,19,0,pilot
L,NATURAL,7.9,female,wave,6,22,5,0,0,0,pilot
N,NATURAL,8.3,female,wave,28,50,20,8,8,1,pilot
Q,NATURAL,8.6,female,wave,17,6,4,2,0,0,pilot
R,NATURAL,8.7,female,wave,15,17,6,0,21,5,pilot
